,Item,Cost,Rarity,Category,LT
1,Apparatus of the Crab,523gp,Legendary,Wondrous item,#
2,Armor + 3,755gp,Legendary,Armor,#
3,Armor of Invulnerability,379gp,Legendary,Armor,#
4,Belt of Giant Strength,626gp,Legendary,Wondrous item,#
5,Crystal Ball,818gp,Legendary,Wondrous item,#
6,Cubic Gate,106gp,Legendary,Wondrous item,#
7,Deck of Many Things,525gp,Legendary,Wondrous item,#
8,Defender,180gp,Legendary,Weapon,#
9,Hammer of Thunderbolts,991gp,Legendary,Weapon,#
10,Holy Avenger,782gp,Legendary,Weapon,#
11,Horn of Valhalla,228gp,Legendary,Wondrous item,#
12,Ioun Stone,329gp,Legendary,Wondrous item,#
13,Iron Flask,592gp,Legendary,Wondrous item,#
14,Luck Blade,581gp,Legendary,Weapon,#
15,Plate Armor of Etherealness,480gp,Legendary,Armor,#
16,Potion of Giant Strength,747gp,Legendary,Potion,#
17,Ring of Djinni Summoning,949gp,Legendary,Ring,#
18,Ring of Elemental Command,191gp,Legendary,Ring,#
19,Ring of Invisibility,334gp,Legendary,Ring,#
20,Ring of Spell Turning,832gp,Legendary,Ring,#
21,Ring of Three Wishes,342gp,Legendary,Ring,#
22,Robe of the Archmagi,462gp,Legendary,Wondrous item,#
23,Rod of Lordly Might,453gp,Legendary,Rod,#
24,Scarab of Protection,263gp,Legendary,Wondrous item,#
25,Sovereign Glue,893gp,Legendary,Wondrous item,#
26,Spell Scroll,481gp,Legendary,Scroll,#
27,Sphere of Annihilation,587gp,Legendary,Wondrous item,#
28,Staff of the Magi,117gp,Legendary,Staff,#
29,Talisman of Pure Good,581gp,Legendary,Wondrous item,#
30,Talisman of Ultimate Evil,811gp,Legendary,Wondrous item,#
31,Talisman of the Sphere,988gp,Legendary,Wondrous item,#
32,Universal Solvent,335gp,Legendary,Wondrous item,#
33,Vorpal Sword,855gp,Legendary,Weapon,#
34,Well of Many Worlds,678gp,Legendary,Wondrous item,#
